#  l    m   clm               slm
  28   28   2.8049194853e-14 -1.4064723127e-15
  29    0   3.1215462020e-13 -0.0000000000e+00
  29    1  -7.5268105181e-14  1.2248346770e-13
  29    2   3.5018488361e-14 -2.0848069081e-13
  29    3  -2.9116030846e-13 -2.6231886820e-13
  29    4   6.5684908855e-14 -3.7419112257e-14
  29    5  -1.0310439499e-13 -5.9709323430e-15
  29    6  -1.0476603101e-13  1.1953930740e-13
  29    7   1.6214242941e-14  3.1750802559e-14
  29    8   6.1483651716e-14  3.7245689844e-14
  29    9  -3.2675945426e-14  3.1898553134e-14
  29   10   6.1874323228e-15 -1.8936364852e-13
  29   11  -1.2052506398e-13 -1.4890140169e-13
  29   12  -2.1963920460e-13  4.9005104432e-14
  29   13  -2.5240585525e-14  1.1323498792e-13
  29   14   7.2363971487e-14  1.1774858945e-14
  29   15   9.2292022160e-15 -4.9891163635e-14
  29   16  -4.8461904780e-14 -3.2186535779e-14
  29   17  -5.0422196055e-14  4.3296432411e-14
  29   18   6.9216924003e-14  2.6054783796e-14
  29   19   3.1759332083e-14 -2.3972482112e-14
  29   20  -2.2641597851e-14 -6.8471878551e-15
  29   21  -2.3384580279e-15  6.0056727994e-15
  29   22   1.2379566258e-14  8.4939803799e-16
  29   23  -2.3544781678e-14 -1.7143245520e-14
  29   24  -1.0851262904e-14 -1.2114929066e-14
  29   25   7.1819478118e-15  9.2522737628e-15
  29   26   3.9419072561e-15 -1.2163837416e-14
  29   27   2.4118103955e-15  1.4524361172e-15
  29   28   1.7885717689e-15  3.8696567919e-15
  29   29   1.6460829230e-14  7.3243340927e-15
  30    0   1.1485509733e-15 -0.0000000000e+00
  30    1  -1.4720359147e-13 -3.6713296147e-14
  30    2   1.2083354307e-13 -7.6476604990e-14
  30    3  -5.9869023829e-14  4.0761778380e-14
  30    4  -1.1744405427e-13  1.3151953967e-13
  30    5  -2.1979848289e-13 -1.3364083773e-14
  30    6  -1.1545918105e-13  3.2424117518e-14
  30    7   1.1795670687e-13  9.2379306575e-14
  30    8  -8.5293134687e-14  5.1723545663e-14
  30    9   5.2860159951e-14 -9.8009977629e-14
  30   10  -2.7797976578e-14 -6.4313150363e-14
  30   11  -1.4947726693e-13 -5.9869836113e-14
  30   12  -1.0253206024e-13  2.6950987282e-14
  30   13  -2.9470861580e-14  1.3370379435e-13
  30   14   5.0437094191e-14 -1.4084627942e-14
  30   15  -8.8661944340e-15 -4.8279814306e-14
  30   16  -3.2471892154e-14  9.4489649579e-15
  30   17  -2.4494409961e-14  4.6941168451e-14
  30   18   4.1932885628e-14  3.1430013921e-14
  30   19   1.0305331973e-14 -4.7842571101e-14
  30   20  -7.7677256837e-15 -1.3585026735e-14
  30   21  -8.7031673048e-15  5.9654629691e-15
  30   22   4.4248775605e-15 -1.5420026814e-14
  30   23   1.9193550741e-14 -2.3009244768e-14
  30   24  -1.6951130860e-14 -5.6872218982e-15
  30   25   1.4962736526e-14 -8.1477192254e-15
  30   26   2.6825100108e-15  1.0832880017e-14
  30   27   7.6817184848e-15  9.3840516600e-15
  30   28  -1.3582969512e-14  7.6260637209e-15
  30   29   5.3974377289e-15  1.0061380849e-14
  30   30  -7.2096357955e-15 -2.2009723232e-15
  31    0   1.9893830520e-13 -0.0000000000e+00
  31    1   1.0029186626e-14  3.2063517883e-14
  31    2  -2.0099227515e-15 -6.7635966967e-14
  31    3  -1.8248294985e-13 -2.8009586628e-13
  31    4   9.5170509797e-14  3.4712045252e-15
  31    5  -1.6520281428e-14  3.1759843762e-14
  31    6  -7.8640552751e-14  1.2313694821e-13
  31    7   9.3115494658e-14  1.1760237999e-13
  31    8   1.7809560673e-13  4.8430917700e-14
  31    9   9.6978384876e-15  7.3462148885e-14
  31   10  -9.8066674183e-15 -1.2463033352e-13
  31   11  -5.4363890182e-14 -7.3354922737e-14
  31   12  -1.3609337894e-13  8.3219025649e-14
  31   13   1.1771007013e-14  8.4264062885e-14
  31   14   4.4489847466e-14 -8.8526188536e-15
  31   15  -4.1352447231e-14 -1.7808255620e-14
  31   16  -6.8479280058e-15  9.6045869059e-15
  31   17  -5.7985648433e-15  2.8268257435e-14
  31   18   5.3685077542e-14  1.3140112967e-15
  31   19   4.7896132410e-14 -4.4868886320e-15
  31   20  -2.0751925177e-14 -2.6009427376e-14
  31   21  -7.5652016637e-15  4.6523481051e-15
  31   22   7.8951619918e-15 -2.2662019251e-15
  31   23   1.6359271280e-16 -2.5496599084e-16
  31   24   1.8068384789e-15 -1.2536681386e-15
  31   25  -1.0962241082e-14  8.3331743684e-15
  31   26  -2.5521819914e-16  1.4200241681e-15
  31   27  -1.8953923886e-15  1.0724440944e-14
  31   28   1.3627988202e-14  1.2936182083e-14
  31   29  -5.9464701966e-15 -1.5203507279e-14
  31   30  -2.5070489509e-15 -8.3508819738e-15
  31   31  -5.0612456471e-15 -3.8141750143e-15
  32    0  -1.7639545246e-14 -0.0000000000e+00
  32    1  -8.0719322383e-14 -6.7290259747e-14
  32    2   6.6127956635e-14  9.9476176442e-16
  32    3   3.4124746883e-14 -2.2230256752e-14
  32    4  -6.7596770185e-14  1.4552696994e-13
